Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Ferrara,Italy,Northern America and Europe,94.34, European Commission DG REGIO,915
Proportion of population with access to public transport,Marseille,France,Northern America and Europe,94.35, European Commission DG REGIO,916
Proportion of population with access to public transport,Perpignan,France,Northern America and Europe,94.36, European Commission DG REGIO,917
Proportion of population with access to public transport,Haví?ov,Czech Republic,Northern America and Europe,94.37, European Commission DG REGIO,918
Proportion of population with access to public transport,Dunedin,New Zealand,Australia and New Zealand,94.38,UN-Habitat Urban Indicators Database,919
Proportion of population with access to public transport,Wolfsburg,Germany,Northern America and Europe,94.39, European Commission DG REGIO,920
Proportion of population with access to public transport,Auckland,New Zealand,Australia and New Zealand,94.39,UN-Habitat Urban Indicators Database,921
Proportion of population with access to public transport,Cork,Ireland,Northern America and Europe,94.4, European Commission DG REGIO,922
Proportion of population with access to public transport,Reading,United Kingdom,Northern America and Europe,94.41, European Commission DG REGIO,923
Proportion of population with access to public transport,Warrington,United Kingdom,Northern America and Europe,94.44, European Commission DG REGIO,924
Proportion of population with access to public transport,Groningen,Netherlands,Northern America and Europe,94.49, European Commission DG REGIO,925
Proportion of population with access to public transport,Neumünster,Germany,Northern America and Europe,94.5, European Commission DG REGIO,926
Proportion of population with access to public transport,Solingen / Wuppertal,Germany,Northern America and Europe,94.5, European Commission DG REGIO,927
Proportion of population with access to public transport,Nice,France,Northern America and Europe,94.56, European Commission DG REGIO,928
Proportion of population with access to public transport,Wroc?aw,Poland,Northern America and Europe,94.57, European Commission DG REGIO,929
Proportion of population with access to public transport,Colmar,France,Northern America and Europe,94.58, European Commission DG REGIO,930
Proportion of population with access to public transport,Gloucester,United Kingdom,Northern America and Europe,94.58, European Commission DG REGIO,931
Proportion of population with access to public transport,Toru?,Poland,Northern America and Europe,94.59, European Commission DG REGIO,932
Proportion of population with access to public transport,Oxford,United Kingdom,Northern America and Europe,94.59, European Commission DG REGIO,933
Proportion of population with access to public transport,Sutton in Ashfield,United Kingdom,Northern America and Europe,94.6, European Commission DG REGIO,934
Proportion of population with access to public transport,Legnica,Poland,Northern America and Europe,94.61, European Commission DG REGIO,935
Proportion of population with access to public transport,Granada,Spain,Northern America and Europe,94.61, European Commission DG REGIO,936
Proportion of population with access to public transport,Amiens,France,Northern America and Europe,94.67, European Commission DG REGIO,937
Proportion of population with access to public transport,Ayr / Prestwick,United Kingdom,Northern America and Europe,94.69, European Commission DG REGIO,938
Proportion of population with access to public transport,Wigan / Skelmersdale,United Kingdom,Northern America and Europe,94.69, European Commission DG REGIO,939
Proportion of population with access to public transport,Düsseldorf,Germany,Northern America and Europe,94.7, European Commission DG REGIO,940
Proportion of population with access to public transport,Wycombe,United Kingdom,Northern America and Europe,94.71, European Commission DG REGIO,941
Proportion of population with access to public transport,Suwa?ki,Poland,Northern America and Europe,94.72, European Commission DG REGIO,942
Proportion of population with access to public transport,Glasgow,United Kingdom,Northern America and Europe,94.76, European Commission DG REGIO,943
Proportion of population with access to public transport,London,United Kingdom,Northern America and Europe,94.79, European Commission DG REGIO,944
Proportion of population with access to public transport,Grimsby / Cleethorpes,United Kingdom,Northern America and Europe,94.79, European Commission DG REGIO,945
Proportion of population with access to public transport,Hildesheim,Germany,Northern America and Europe,94.84, European Commission DG REGIO,946
Proportion of population with access to public transport,Biel/Bienne,Switzerland,Northern America and Europe,94.85, European Commission DG REGIO,947
Proportion of population with access to public transport,Darmstadt,Germany,Northern America and Europe,94.86, European Commission DG REGIO,948
Proportion of population with access to public transport,Fürth,Germany,Northern America and Europe,94.94, European Commission DG REGIO,949
Proportion of population with access to public transport,Ulm/Neu-Ulm,Germany,Northern America and Europe,94.95, European Commission DG REGIO,950
Proportion of population with access to public transport,Frankfurt am Main,Germany,Northern America and Europe,94.96, European Commission DG REGIO,951
Proportion of population with access to public transport,Che?m,Poland,Northern America and Europe,94.97, European Commission DG REGIO,952
Proportion of population with access to public transport,Bregenz,Austria,Northern America and Europe,94.98, European Commission DG REGIO,953
Proportion of population with access to public transport,Szczecin,Poland,Northern America and Europe,94.98, European Commission DG REGIO,954
Proportion of population with access to public transport,Nuneaton,United Kingdom,Northern America and Europe,94.99, European Commission DG REGIO,955
Proportion of population with access to public transport,Worcester,United Kingdom,Northern America and Europe,95, European Commission DG REGIO,956
Proportion of population with access to public transport,Sindelfingen,Germany,Northern America and Europe,95.02, European Commission DG REGIO,957
Proportion of population with access to public transport,Gütersloh,Germany,Northern America and Europe,95.02, European Commission DG REGIO,958
Proportion of population with access to public transport,Pi?a,Poland,Northern America and Europe,95.06, European Commission DG REGIO,959
Proportion of population with access to public transport,Lincoln,United Kingdom,Northern America and Europe,95.09, European Commission DG REGIO,960
Proportion of population with access to public transport,E?k,Poland,Northern America and Europe,97.65, European Commission DG REGIO,961
Proportion of population with access to public transport,Bamberg,Germany,Northern America and Europe,97.1, European Commission DG REGIO,962
Proportion of population with access to public transport,Budapest,Hungary,Northern America and Europe,96.47, European Commission DG REGIO,963
Proportion of population with access to public transport,Pavia,Italy,Northern America and Europe,98.25, European Commission DG REGIO,964
Proportion of population with access to public transport,Tours,France,Northern America and Europe,95.82, European Commission DG REGIO,965
Proportion of population with access to public transport,Szombathely,Hungary,Northern America and Europe,95.83, European Commission DG REGIO,966
Proportion of population with access to public transport,Helsinki / Helsingfors,Finland,Northern America and Europe,95.84, European Commission DG REGIO,967
Proportion of population with access to public transport,Barnsley,United Kingdom,Northern America and Europe,95.86, European Commission DG REGIO,968
Proportion of population with access to public transport,Belfort,France,Northern America and Europe,95.86, European Commission DG REGIO,969
Proportion of population with access to public transport,Aachen,Germany,Northern America and Europe,95.86, European Commission DG REGIO,970
Proportion of population with access to public transport,Bourges,France,Northern America and Europe,95.87, European Commission DG REGIO,971
Proportion of population with access to public transport,Iserlohn,Germany,Northern America and Europe,95.88, European Commission DG REGIO,972
Proportion of population with access to public transport,Leeds / Bradford,United Kingdom,Northern America and Europe,95.88, European Commission DG REGIO,973
Proportion of population with access to public transport,Elbl?g,Poland,Northern America and Europe,95.89, European Commission DG REGIO,974
Proportion of population with access to public transport,Warwick,United Kingdom,Northern America and Europe,95.89, European Commission DG REGIO,975
Proportion of population with access to public transport,Dordrecht,Netherlands,Northern America and Europe,95.89, European Commission DG REGIO,976
Proportion of population with access to public transport,Lüneburg,Germany,Northern America and Europe,95.89, European Commission DG REGIO,977
Proportion of population with access to public transport,Meaux,France,Northern America and Europe,95.95, European Commission DG REGIO,978
Proportion of population with access to public transport,Almada,Portugal,Northern America and Europe,95.96, European Commission DG REGIO,979
Proportion of population with access to public transport,Brugge,Belgium,Northern America and Europe,95.97, European Commission DG REGIO,980
Proportion of population with access to public transport,Northampton,United Kingdom,Northern America and Europe,95.98, European Commission DG REGIO,981
Proportion of population with access to public transport,Stockton-on-Tees,United Kingdom,Northern America and Europe,95.98, European Commission DG REGIO,982
Proportion of population with access to public transport,Wakefield,United Kingdom,Northern America and Europe,95.99, European Commission DG REGIO,983
Proportion of population with access to public transport,Bournemouth,United Kingdom,Northern America and Europe,96, European Commission DG REGIO,984
Proportion of population with access to public transport,Mansfield,United Kingdom,Northern America and Europe,96, European Commission DG REGIO,985
Proportion of population with access to public transport,Göttingen,Germany,Northern America and Europe,96, European Commission DG REGIO,986
Proportion of population with access to public transport,Birmingham,United Kingdom,Northern America and Europe,96.02, European Commission DG REGIO,987
Proportion of population with access to public transport,Vienna,Austria,Northern America and Europe,96.02,UN-Habitat Urban Indicators Database,988
Proportion of population with access to public transport,Toulon,France,Northern America and Europe,96.02, European Commission DG REGIO,989
Proportion of population with access to public transport,Maidstone,United Kingdom,Northern America and Europe,96.06, European Commission DG REGIO,990
Proportion of population with access to public transport,Basingstoke and Deane,United Kingdom,Northern America and Europe,96.07, European Commission DG REGIO,991
Proportion of population with access to public transport,Chartres,France,Northern America and Europe,96.12, European Commission DG REGIO,992
Proportion of population with access to public transport,Roma,Italy,Northern America and Europe,96.14, European Commission DG REGIO,993
Proportion of population with access to public transport,Sassuolo,Italy,Northern America and Europe,96.16, European Commission DG REGIO,994
Proportion of population with access to public transport,Przemy?l,Poland,Northern America and Europe,96.17, European Commission DG REGIO,995
Proportion of population with access to public transport,Leuven,Belgium,Northern America and Europe,96.17, European Commission DG REGIO,996
Proportion of population with access to public transport,Zürich,Switzerland,Northern America and Europe,96.19, European Commission DG REGIO,997
Proportion of population with access to public transport,Klagenfurt,Austria,Northern America and Europe,96.19, European Commission DG REGIO,998
Proportion of population with access to public transport,Dijon,France,Northern America and Europe,96.24, European Commission DG REGIO,999
Proportion of population with access to public transport,Derry,United Kingdom,Northern America and Europe,96.27, European Commission DG REGIO,1000
Proportion of population with access to public transport,Bordeaux,France,Northern America and Europe,96.28, European Commission DG REGIO,1001
Proportion of population with access to public transport,Aylesbury,United Kingdom,Northern America and Europe,96.28, European Commission DG REGIO,1002
Proportion of population with access to public transport,Crawley,United Kingdom,Northern America and Europe,96.32, European Commission DG REGIO,1003
Proportion of population with access to public transport,Plze?,Czech Republic,Northern America and Europe,96.33, European Commission DG REGIO,1004
Proportion of population with access to public transport,Melilla,Spain,Northern America and Europe,96.34, European Commission DG REGIO,1005
Proportion of population with access to public transport,Lausanne,Switzerland,Northern America and Europe,96.34, European Commission DG REGIO,1006
Proportion of population with access to public transport,Heidelberg,Germany,Northern America and Europe,96.36, European Commission DG REGIO,1007
Proportion of population with access to public transport,Waveney,United Kingdom,Northern America and Europe,96.36, European Commission DG REGIO,1008
Proportion of population with access to public transport,Gent,Belgium,Northern America and Europe,96.36, European Commission DG REGIO,1009
Proportion of population with access to public transport,Besançon,France,Northern America and Europe,96.36, European Commission DG REGIO,1010
Proportion of population with access to public transport,Mönchengladbach,Germany,Northern America and Europe,96.39, European Commission DG REGIO,1011
Proportion of population with access to public transport,Crewe,United Kingdom,Northern America and Europe,96.4, European Commission DG REGIO,1012
Proportion of population with access to public transport,Firenze,Italy,Northern America and Europe,98.29, European Commission DG REGIO,1013
Proportion of population with access to public transport,Udine,Italy,Northern America and Europe,97.66, European Commission DG REGIO,1014
Proportion of population with access to public transport,Castelldefels,Spain,Northern America and Europe,97.11, European Commission DG REGIO,1015
Proportion of population with access to public transport,Hastings,United Kingdom,Northern America and Europe,96.47, European Commission DG REGIO,1016
Proportion of population with access to public transport,Maurepas / Montigny-le-Bretonneux,France,Northern America and Europe,96.48, European Commission DG REGIO,1017
Proportion of population with access to public transport,Hamilton,New Zealand,Australia and New Zealand,96.49,UN-Habitat Urban Indicators Database,1018
Proportion of population with access to public transport,Scunthorpe,United Kingdom,Northern America and Europe,96.5, European Commission DG REGIO,1019
Proportion of population with access to public transport,Saarbrücken,Germany,Northern America and Europe,96.5, European Commission DG REGIO,1020
Proportion of population with access to public transport,Preston,United Kingdom,Northern America and Europe,96.51, European Commission DG REGIO,1021
Proportion of population with access to public transport,Ashford,United Kingdom,Northern America and Europe,96.51, European Commission DG REGIO,1022
Proportion of population with access to public transport,Kidderminster,United Kingdom,Northern America and Europe,96.55, European Commission DG REGIO,1023
Proportion of population with access to public transport,Ingolstadt,Germany,Northern America and Europe,96.55, European Commission DG REGIO,1024
Proportion of population with access to public transport,Ellesmere Port,United Kingdom,Northern America and Europe,96.56, European Commission DG REGIO,1025
Proportion of population with access to public transport,Great Yarmouth,United Kingdom,Northern America and Europe,96.56, European Commission DG REGIO,1026
Proportion of population with access to public transport,Bristol,United Kingdom,Northern America and Europe,96.57, European Commission DG REGIO,1027
Proportion of population with access to public transport,Thun,Switzerland,Northern America and Europe,96.62, European Commission DG REGIO,1028
Proportion of population with access to public transport,Kempten (Allgäu),Germany,Northern America and Europe,96.64, European Commission DG REGIO,1029
Proportion of population with access to public transport,Edinburgh,United Kingdom,Northern America and Europe,96.65, European Commission DG REGIO,1030
Proportion of population with access to public transport,Saint-Brieuc,France,Northern America and Europe,96.65, European Commission DG REGIO,1031
Proportion of population with access to public transport,Blackburn with Darwen,United Kingdom,Northern America and Europe,96.67, European Commission DG REGIO,1032
Proportion of population with access to public transport,Mestre,Italy,Northern America and Europe,96.69, European Commission DG REGIO,1033
Proportion of population with access to public transport,Namur,Belgium,Northern America and Europe,96.7, European Commission DG REGIO,1034
Proportion of population with access to public transport,Trier,Germany,Northern America and Europe,96.72, European Commission DG REGIO,1035
Proportion of population with access to public transport,Bilbao,Spain,Northern America and Europe,96.74, European Commission DG REGIO,1036
Proportion of population with access to public transport,Grenoble,France,Northern America and Europe,96.76, European Commission DG REGIO,1037
Proportion of population with access to public transport,Genève,Switzerland,Northern America and Europe,96.79, European Commission DG REGIO,1038
Proportion of population with access to public transport,Newport,United Kingdom,Northern America and Europe,96.84, European Commission DG REGIO,1039
Proportion of population with access to public transport,Tübingen,Germany,Northern America and Europe,96.85, European Commission DG REGIO,1040
Proportion of population with access to public transport,Liverpool,United Kingdom,Northern America and Europe,96.89, European Commission DG REGIO,1041
Proportion of population with access to public transport,Grudzi?dz,Poland,Northern America and Europe,96.89, European Commission DG REGIO,1042
Proportion of population with access to public transport,Viladecans,Spain,Northern America and Europe,96.9, European Commission DG REGIO,1043
Proportion of population with access to public transport,Hanau,Germany,Northern America and Europe,96.92, European Commission DG REGIO,1044
Proportion of population with access to public transport,Thanet,United Kingdom,Northern America and Europe,96.92, European Commission DG REGIO,1045
Proportion of population with access to public transport,Southampton,United Kingdom,Northern America and Europe,96.93, European Commission DG REGIO,1046
Proportion of population with access to public transport,Calais,France,Northern America and Europe,96.93, European Commission DG REGIO,1047
Proportion of population with access to public transport,Pamplona/Iruña,Spain,Northern America and Europe,96.93, European Commission DG REGIO,1048
Proportion of population with access to public transport,Pau,France,Northern America and Europe,96.93, European Commission DG REGIO,1049
Proportion of population with access to public transport,Plymouth,United Kingdom,Northern America and Europe,96.96, European Commission DG REGIO,1050
Proportion of population with access to public transport,?om?a,Poland,Northern America and Europe,96.97, European Commission DG REGIO,1051
Proportion of population with access to public transport,Luton,United Kingdom,Northern America and Europe,97, European Commission DG REGIO,1052
Proportion of population with access to public transport,Valence,France,Northern America and Europe,97.01, European Commission DG REGIO,1053
Proportion of population with access to public transport,Derby,United Kingdom,Northern America and Europe,97.02, European Commission DG REGIO,1054
Proportion of population with access to public transport,Athina,Greece,Northern America and Europe,97.02, European Commission DG REGIO,1055
Proportion of population with access to public transport,Tampere / Tammerfors,Finland,Northern America and Europe,97.04, European Commission DG REGIO,1056
Proportion of population with access to public transport,Lüdenscheid,Germany,Northern America and Europe,97.04, European Commission DG REGIO,1057
Proportion of population with access to public transport,Alicante/Alacant,Spain,Northern America and Europe,97.04, European Commission DG REGIO,1058
Proportion of population with access to public transport,Lecce,Italy,Northern America and Europe,97.05, European Commission DG REGIO,1059
Proportion of population with access to public transport,Tyneside conurbation,United Kingdom,Northern America and Europe,97.05, European Commission DG REGIO,1060
Proportion of population with access to public transport,Wetzikon,Switzerland,Northern America and Europe,97.07,UN-Habitat Urban Indicators Database,1061
Proportion of population with access to public transport,Purmerend,Netherlands,Northern America and Europe,97.07, European Commission DG REGIO,1062
Proportion of population with access to public transport,Hyndburn,United Kingdom,Northern America and Europe,98.32, European Commission DG REGIO,1063
Proportion of population with access to public transport,Ribeirao Preto,Brazil,Latin America and the Caribbean,98.35,UN-Habitat Urban Indicators Database,1064
Proportion of population with access to public transport,Reus,Spain,Northern America and Europe,98.36, European Commission DG REGIO,1065
Proportion of population with access to public transport,Ipswich,United Kingdom,Northern America and Europe,98.37, European Commission DG REGIO,1066
Proportion of population with access to public transport,Ostrowiec ?wi?tokrzyski,Poland,Northern America and Europe,98.37, European Commission DG REGIO,1067
Proportion of population with access to public transport,Manchester,United Kingdom,Northern America and Europe,98.39,UN-Habitat Urban Indicators Database,1068
Proportion of population with access to public transport,Vilanova i la Geltrú,Spain,Northern America and Europe,98.42, European Commission DG REGIO,1069
Proportion of population with access to public transport,Valladolid,Spain,Northern America and Europe,98.43, European Commission DG REGIO,1070
Proportion of population with access to public transport,Toledo,Spain,Northern America and Europe,98.43, European Commission DG REGIO,1071
Proportion of population with access to public transport,Innsbruck,Austria,Northern America and Europe,98.43, European Commission DG REGIO,1072
Proportion of population with access to public transport,Le Havre,France,Northern America and Europe,98.43, European Commission DG REGIO,1073
Proportion of population with access to public transport,Madrid,Spain,Northern America and Europe,98.44, European Commission DG REGIO,1074
Proportion of population with access to public transport,Talavera de la Reina,Spain,Northern America and Europe,98.44, European Commission DG REGIO,1075
Proportion of population with access to public transport,Gijón,Spain,Northern America and Europe,98.47, European Commission DG REGIO,1076
Proportion of population with access to public transport,Carlisle,United Kingdom,Northern America and Europe,98.47, European Commission DG REGIO,1077
Proportion of population with access to public transport,Oviedo,Spain,Northern America and Europe,98.48, European Commission DG REGIO,1078
Proportion of population with access to public transport,Logroño,Spain,Northern America and Europe,98.5, European Commission DG REGIO,1079
Proportion of population with access to public transport,Rennes,France,Northern America and Europe,98.5, European Commission DG REGIO,1080
Proportion of population with access to public transport,Chesterfield,United Kingdom,Northern America and Europe,98.5, European Commission DG REGIO,1081
Proportion of population with access to public transport,Manresa,Spain,Northern America and Europe,98.53, European Commission DG REGIO,1082
Proportion of population with access to public transport,Livorno,Italy,Northern America and Europe,98.56, European Commission DG REGIO,1083
Proportion of population with access to public transport,Santa Cruz de Tenerife,Spain,Northern America and Europe,98.57, European Commission DG REGIO,1084
Proportion of population with access to public transport,Pabianice,Poland,Northern America and Europe,98.61, European Commission DG REGIO,1085
Proportion of population with access to public transport,Sant Boi de Llobregat,Spain,Northern America and Europe,98.63, European Commission DG REGIO,1086
Proportion of population with access to public transport,Bath,United Kingdom,Northern America and Europe,98.65, European Commission DG REGIO,1087
Proportion of population with access to public transport,Blackpool,United Kingdom,Northern America and Europe,98.65, European Commission DG REGIO,1088
Proportion of population with access to public transport,Salamanca,Spain,Northern America and Europe,98.67, European Commission DG REGIO,1089
Proportion of population with access to public transport,Cagliari,Italy,Northern America and Europe,98.68, European Commission DG REGIO,1090
Proportion of population with access to public transport,Martigues / Port-de-Bouc,France,Northern America and Europe,98.7, European Commission DG REGIO,1091
Proportion of population with access to public transport,Paris,France,Northern America and Europe,97.66, European Commission DG REGIO,1092
Proportion of population with access to public transport,Braga,Portugal,Northern America and Europe,98.71, European Commission DG REGIO,1093
Proportion of population with access to public transport,Torbay,United Kingdom,Northern America and Europe,98.73, European Commission DG REGIO,1094
Proportion of population with access to public transport,Reims,France,Northern America and Europe,97.11, European Commission DG REGIO,1095
Proportion of population with access to public transport,Santander,Spain,Northern America and Europe,98.74, European Commission DG REGIO,1096
Proportion of population with access to public transport,Pforzheim,Germany,Northern America and Europe,98.75, European Commission DG REGIO,1097
Proportion of population with access to public transport,Boulogne-sur-mer,France,Northern America and Europe,98.79, European Commission DG REGIO,1098
Proportion of population with access to public transport,Thessaloniki,Greece,Northern America and Europe,98.8, European Commission DG REGIO,1099
Proportion of population with access to public transport,Halifax,United Kingdom,Northern America and Europe,98.8, European Commission DG REGIO,1100
Proportion of population with access to public transport,"Hong Kong, Hong Kong",China,Eastern Asia and South-Eastern Asia,98.8,UN-Habitat Urban Indicators Database,1101
Proportion of population with access to public transport,Kaiserslautern,Germany,Northern America and Europe,98.83, European Commission DG REGIO,1102
Proportion of population with access to public transport,Sassari,Italy,Northern America and Europe,98.87, European Commission DG REGIO,1103
Proportion of population with access to public transport,Bolzano,Italy,Northern America and Europe,98.88, European Commission DG REGIO,1104
Proportion of population with access to public transport,Albacete,Spain,Northern America and Europe,98.89, European Commission DG REGIO,1105
Proportion of population with access to public transport,Zaragoza,Spain,Northern America and Europe,98.93, European Commission DG REGIO,1106
Proportion of population with access to public transport,Cáceres,Spain,Northern America and Europe,98.95, European Commission DG REGIO,1107
Proportion of population with access to public transport,Elche/Elx,Spain,Northern America and Europe,98.97, European Commission DG REGIO,1108
Proportion of population with access to public transport,Ancona,Italy,Northern America and Europe,98.97, European Commission DG REGIO,1109
Proportion of population with access to public transport,Setúbal,Portugal,Northern America and Europe,98.99, European Commission DG REGIO,1110
Proportion of population with access to public transport,St Albans,United Kingdom,Northern America and Europe,97.13, European Commission DG REGIO,1111
Proportion of population with access to public transport,La Rochelle,France,Northern America and Europe,97.13, European Commission DG REGIO,1112
Proportion of population with access to public transport,Brest,France,Northern America and Europe,97.14, European Commission DG REGIO,1113
Proportion of population with access to public transport,Rotherham,United Kingdom,Northern America and Europe,97.14, European Commission DG REGIO,1114
Proportion of population with access to public transport,St. Gallen,Switzerland,Northern America and Europe,97.16, European Commission DG REGIO,1115
Proportion of population with access to public transport,Corby,United Kingdom,Northern America and Europe,97.16, European Commission DG REGIO,1116
Proportion of population with access to public transport,Irun,Spain,Northern America and Europe,97.17, European Commission DG REGIO,1117
Proportion of population with access to public transport,Tartu,Estonia,Northern America and Europe,97.18, European Commission DG REGIO,1118
Proportion of population with access to public transport,A Coruña,Spain,Northern America and Europe,97.19, European Commission DG REGIO,1119
Proportion of population with access to public transport,Worthing,United Kingdom,Northern America and Europe,97.2, European Commission DG REGIO,1120
Proportion of population with access to public transport,Weston-super-Mare,United Kingdom,Northern America and Europe,97.21, European Commission DG REGIO,1121
Proportion of population with access to public transport,Troyes,France,Northern America and Europe,97.21, European Commission DG REGIO,1122
Proportion of population with access to public transport,Remscheid,Germany,Northern America and Europe,97.23, European Commission DG REGIO,1123
Proportion of population with access to public transport,Bayonne,France,Northern America and Europe,97.25, European Commission DG REGIO,1124
Proportion of population with access to public transport,Greater Nottingham,United Kingdom,Northern America and Europe,97.25, European Commission DG REGIO,1125
Proportion of population with access to public transport,Dacorum,United Kingdom,Northern America and Europe,97.26, European Commission DG REGIO,1126
Proportion of population with access to public transport,Cardiff,United Kingdom,Northern America and Europe,97.27, European Commission DG REGIO,1127
Proportion of population with access to public transport,Valletta,Malta,Northern America and Europe,97.28, European Commission DG REGIO,1128
Proportion of population with access to public transport,W?oc?awek,Poland,Northern America and Europe,97.28, European Commission DG REGIO,1129
Proportion of population with access to public transport,Kalisz,Poland,Northern America and Europe,97.32, European Commission DG REGIO,1130
Proportion of population with access to public transport,Nantes,France,Northern America and Europe,97.33, European Commission DG REGIO,1131
Proportion of population with access to public transport,Huddersfield,United Kingdom,Northern America and Europe,97.34, European Commission DG REGIO,1132
Proportion of population with access to public transport,Kladno,Czech Republic,Northern America and Europe,97.34, European Commission DG REGIO,1133
Proportion of population with access to public transport,Metz,France,Northern America and Europe,97.35, European Commission DG REGIO,1134
Proportion of population with access to public transport,Loughborough,United Kingdom,Northern America and Europe,97.35, European Commission DG REGIO,1135
Proportion of population with access to public transport,Ostrów Wielkopolski,Poland,Northern America and Europe,97.36, European Commission DG REGIO,1136
Proportion of population with access to public transport,Bedford,United Kingdom,Northern America and Europe,97.37, European Commission DG REGIO,1137
Proportion of population with access to public transport,Melun,France,Northern America and Europe,97.4, European Commission DG REGIO,1138
Proportion of population with access to public transport,Bruxelles / Brussel,Belgium,Northern America and Europe,97.42, European Commission DG REGIO,1139
Proportion of population with access to public transport,Luxembourg,Luxembourg,Northern America and Europe,97.43, European Commission DG REGIO,1140
Proportion of population with access to public transport,Maidenhead,United Kingdom,Northern America and Europe,97.44, European Commission DG REGIO,1141
Proportion of population with access to public transport,Gravesham,United Kingdom,Northern America and Europe,97.45, European Commission DG REGIO,1142
Proportion of population with access to public transport,Mollet del Vallès,Spain,Northern America and Europe,97.45, European Commission DG REGIO,1143
Proportion of population with access to public transport,Siracusa,Italy,Northern America and Europe,97.46, European Commission DG REGIO,1144
Proportion of population with access to public transport,Angers,France,Northern America and Europe,97.47, European Commission DG REGIO,1145
Proportion of population with access to public transport,Coventry,United Kingdom,Northern America and Europe,97.47, European Commission DG REGIO,1146
Proportion of population with access to public transport,Harlow,United Kingdom,Northern America and Europe,97.48, European Commission DG REGIO,1147
Proportion of population with access to public transport,Wien,Austria,Northern America and Europe,97.48, European Commission DG REGIO,1148
Proportion of population with access to public transport,Valdemoro,Spain,Northern America and Europe,97.48, European Commission DG REGIO,1149
Proportion of population with access to public transport,Lyon,France,Northern America and Europe,97.49, European Commission DG REGIO,1150
Proportion of population with access to public transport,Mantes en Yvelines,France,Northern America and Europe,97.51, European Commission DG REGIO,1151
Proportion of population with access to public transport,Gießen,Germany,Northern America and Europe,97.52, European Commission DG REGIO,1152
Proportion of population with access to public transport,Béziers,France,Northern America and Europe,97.53, European Commission DG REGIO,1153
Proportion of population with access to public transport,Novara,Italy,Northern America and Europe,97.54, European Commission DG REGIO,1154
Proportion of population with access to public transport,Keighley,United Kingdom,Northern America and Europe,97.56, European Commission DG REGIO,1155
Proportion of population with access to public transport,Wellington,New Zealand,Australia and New Zealand,97.67,UN-Habitat Urban Indicators Database,1156
Proportion of population with access to public transport,Paderborn,Germany,Northern America and Europe,97.69, European Commission DG REGIO,1157
Proportion of population with access to public transport,Málaga,Spain,Northern America and Europe,97.69, European Commission DG REGIO,1158
Proportion of population with access to public transport,York,United Kingdom,Northern America and Europe,97.7, European Commission DG REGIO,1159
Proportion of population with access to public transport,Cartagena,Spain,Northern America and Europe,97.72, European Commission DG REGIO,1160
Proportion of population with access to public transport,Tarragona,Spain,Northern America and Europe,97.73, European Commission DG REGIO,1161
Proportion of population with access to public transport,Nancy,France,Northern America and Europe,97.75, European Commission DG REGIO,1162
Proportion of population with access to public transport,Annecy,France,Northern America and Europe,97.77, European Commission DG REGIO,1163
Proportion of population with access to public transport,Dunkerque,France,Northern America and Europe,97.77, European Commission DG REGIO,1164
Proportion of population with access to public transport,Dundee City,United Kingdom,Northern America and Europe,97.78, European Commission DG REGIO,1165
Proportion of population with access to public transport,Doncaster,United Kingdom,Northern America and Europe,97.81, European Commission DG REGIO,1166
Proportion of population with access to public transport,Aberdeen,United Kingdom,Northern America and Europe,97.83, European Commission DG REGIO,1167
Proportion of population with access to public transport,Alcoi/Alcoy,Spain,Northern America and Europe,97.85, European Commission DG REGIO,1168
Proportion of population with access to public transport,Prato,Italy,Northern America and Europe,97.86, European Commission DG REGIO,1169
Proportion of population with access to public transport,El Prat de Llobregat,Spain,Northern America and Europe,97.87, European Commission DG REGIO,1170
Proportion of population with access to public transport,Utrecht,Netherlands,Northern America and Europe,97.88, European Commission DG REGIO,1171
Proportion of population with access to public transport,Schweinfurt,Germany,Northern America and Europe,97.89, European Commission DG REGIO,1172
Proportion of population with access to public transport,Veszprém,Hungary,Northern America and Europe,97.89, European Commission DG REGIO,1173
Proportion of population with access to public transport,Caen,France,Northern America and Europe,97.92, European Commission DG REGIO,1174
Proportion of population with access to public transport,S?upsk,Poland,Northern America and Europe,97.93, European Commission DG REGIO,1175
Proportion of population with access to public transport,Zamora,Spain,Northern America and Europe,97.93, European Commission DG REGIO,1176
Proportion of population with access to public transport,Burnley,United Kingdom,Northern America and Europe,97.93, European Commission DG REGIO,1177
Proportion of population with access to public transport,Arras,France,Northern America and Europe,97.98, European Commission DG REGIO,1178
Proportion of population with access to public transport,Hereford,United Kingdom,Northern America and Europe,97.98, European Commission DG REGIO,1179
Proportion of population with access to public transport,Narva,Estonia,Northern America and Europe,97.99, European Commission DG REGIO,1180
Proportion of population with access to public transport,Sevilla,Spain,Northern America and Europe,98, European Commission DG REGIO,1181
Proportion of population with access to public transport,Torino,Italy,Northern America and Europe,98.01, European Commission DG REGIO,1182
Proportion of population with access to public transport,Coslada,Spain,Northern America and Europe,98.02, European Commission DG REGIO,1183
Proportion of population with access to public transport,Chelmsford,United Kingdom,Northern America and Europe,98.03, European Commission DG REGIO,1184
Proportion of population with access to public transport,Trento,Italy,Northern America and Europe,98.06, European Commission DG REGIO,1185
Proportion of population with access to public transport,Messina,Italy,Northern America and Europe,98.06, European Commission DG REGIO,1186
